WKT,name,description
"POINT (96.08822819999999 16.9986188)",ကွန်ပျူတာတက္ကသိုလ်,
"POINT (96.0917146 16.9940623)",ဆီဆိုင်,
"POINT (96.0928286 16.9887152)",သဘာဝ,
"POINT (96.0933781 16.983464)",သာဓုကန်,
"POINT (96.0943973 16.9742597)",အုတ်ဖို,
"POINT (96.0948372 16.9720638)",သံဖြူဆင်း,
"POINT (96.0967577 16.9613606)",ရွှေပြည်သာကွေ့,
"POINT (96.09756229999999 16.9578099)",စစ်တပ်,
"POINT (96.0996491 16.9527402)",ကျောင်းလမ်း,
"POINT (96.1020745 16.9467003)",မြင်းလှည်းဂိတ်မှတ်တိုင်,
"POINT (96.10278729999999 16.9427884)",ဘုန်းကြီးကျောင်မှတ်တိုင် ,
"POINT (96.1026005 16.9402)",ဆောက်လုပ်ရေး,
"POINT (96.1019182 16.9337124)",ဒညင်းကုန်းလမ်းဆုံ,
"POINT (96.1013684 16.9307601)",ဘိုခြံ,
"POINT (96.099071 16.9263507)",ရွာသစ်,
"POINT (96.0977392 16.9211058)",အောင်ဆန်းစျေး,
"POINT (96.0976704 16.9194044)",ကျောင်းဂိတ်,
"POINT (96.097424 16.9156502)",၁ဂိတ်,
"POINT (96.0973653 16.912651)",စောင်စက်ရုံ,
"POINT (96.0977769 16.9071789)",ဖော့ကန်,
"POINT (96.0977815 16.9047868)",ဂျပန်လမ်း,
"POINT (96.097622 16.9019809)",Government Technical Institute GTI (Insein),
"POINT (96.0970423 16.9011234)",ပြည်​တော်သာ မှတ်တိုင်,
"POINT (96.1030482 16.9024577)",သရက်တော,
"POINT (96.1065139 16.9008458)",ဘိုကုန်း ,
"POINT (96.1057041 16.8991267)",ဟိုက်ပတ်,
"POINT (96.105094 16.8966364)",မညက,
"POINT (96.1054439 16.89320559999999)",အင်းစိန်ဆေးရုံကြီး,
"POINT (96.10725049999999 16.88873169999999)",အင်းစိန်ပန်းခြံ,
"POINT (96.1076791 16.8877286)",အင်းစိန်ပန်းခြံ,
"POINT (96.1085352 16.8858328)",နီု့စျေး,
"POINT (96.11036159999999 16.8843459)",ဘီအိုစီ (Insein Rd),
"POINT (96.11278659999999 16.8787529)",ကြို့ကုန်း,
"POINT (96.1164165 16.87523569999999)",YTU,
"POINT (96.1196623 16.8696578)",ခဝဲခြံ,
"POINT (96.12074559999999 16.8654932)",ကုလား​ကျောင်း,
"POINT (96.1213149 16.863672)",သမိုင်းလမ်းဆုံ,
"POINT (96.1223455 16.8632237)",သမိုင်းလမ်းဆုံ,
"POINT (96.12257439999999 16.8606469)",သမိုင်း,
"POINT (96.1233689 16.858169)",ဘုရားလမ်း,
"POINT (96.12386839999999 16.8550945)",အုတ်ကျင်း,
"POINT (96.12463679999999 16.85072)",ဘာတာ,
"POINT (96.1258903 16.8452748)",သံလမ်း,
"POINT (96.12700339999999 16.8404255)",သုခ,
"POINT (96.12770830000001 16.8371781)",ဘူတာရုံ,
"POINT (96.12851359999999 16.8344865)",ဆင်‌ရေတွင်း,
"POINT (96.1295208 16.8310149)",စံရိပ်ငြိမ်,
"POINT (96.13044289999999 16.8281365)",လှည်းတန်း,
"POINT (96.13437979999999 16.8197041)",University of Medicine (1) Yangon,
"POINT (96.13299430000001 16.8183649)",စိုက်ပျိုးရေး,
"POINT (96.1343605 16.8165644)",Yangon University of Education,
"POINT (96.1348182 16.8120745)",ဟံသာဝတီ (ပြည်လမ်း),
"POINT (96.135824 16.8084653)",မဟာမြိုင်,
"POINT (96.13626020000001 16.8070082)",မြေနီကုန်း,
"POINT (96.1379623 16.8036828)",မြေနီကုန်း (ဘားကရာ),
"POINT (96.1376907 16.802829)",မြေနီကုန်း ကားမှတ်တိုင်,
"POINT (96.14084659999999 16.791104)",ဟယ်ပင် ကားမှတ်တိုင်,
"POINT (96.14246519999999 16.786528)",ပဲခူးကလပ်,
"POINT (96.14362249999999 16.7830177)",စိန့်ဂျွန်း,
"POINT (96.1489213 16.7796692)",ဆေးရုံကြီး,
"POINT (96.1544211 16.7793572)",ဗိုလ်ချုပ်စျေး,
"POINT (96.1587703 16.7776916)",ဘားလမ်း,
"POINT (96.158958 16.7759884)",ဆူးလေ,
"POINT (96.1548569 16.7770492)",ကုန်စျေးတန်း,
"POINT (96.1533603 16.7777518)",လေဟာပြင်စျေး,
